epoch,dice,iou,loss,lr,val_dice,val_iou,val_loss
0,0.16527190804481506,0.09007978439331055,0.5831716656684875,1e-04,0.22707341611385345,0.12807829678058624,0.5601293444633484
1,0.8959881067276001,0.8115746974945068,0.4387812614440918,1e-04,0.23343655467033386,0.1321416199207306,0.561958909034729
0,0.2691631317138672,0.15551039576530457,0.5327521562576294,1e-04,0.1484864354133606,0.08019732683897018,0.6184656023979187
1,0.4783255159854889,0.31434154510498047,0.4158687889575958,1e-04,0.4992881417274475,0.3327008783817291,0.3784557580947876
2,0.5514479875564575,0.3806891441345215,0.3324270248413086,1e-04,0.44156232476234436,0.2833365201950073,0.3730613887310028
3,0.5900648236274719,0.418504923582077,0.27895280718803406,1e-04,0.5803573131561279,0.4088051915168762,0.2754843235015869
4,0.6241452097892761,0.45364177227020264,0.24285466969013214,1e-04,0.5792556405067444,0.40771278738975525,0.26315194368362427
5,0.648262619972229,0.47957733273506165,0.22082997858524323,1e-04,0.6299318671226501,0.4597814083099365,0.23326312005519867
6,0.6661928296089172,0.4994671046733856,0.2066645473241806,1e-04,0.7060097455978394,0.5456067323684692,0.1862117350101471
7,0.6722677946090698,0.5063278675079346,0.20120331645011902,1e-04,0.7056207656860352,0.5451422333717346,0.18322919309139252
8,0.68232262134552,0.5178222060203552,0.19286468625068665,1e-04,0.6766974925994873,0.5113701820373535,0.19798588752746582
9,0.6983510851860046,0.5365126729011536,0.18215374648571014,1e-04,0.6991474628448486,0.537453293800354,0.18468701839447021
10,0.7074070572853088,0.5472775101661682,0.17684173583984375,1e-04,0.7467583417892456,0.5958614349365234,0.15688566863536835
11,0.7104313373565674,0.5509061217308044,0.17390070855617523,1e-04,0.6913491487503052,0.5282915234565735,0.18865203857421875
12,0.7238576412200928,0.5672232508659363,0.167984277009964,1e-04,0.736914336681366,0.583423912525177,0.16190996766090393
13,0.7197532057762146,0.5621987581253052,0.16885609924793243,1e-04,0.7233731746673584,0.5666285157203674,0.17377790808677673
14,0.724619448184967,0.5681594014167786,0.1637682020664215,1e-04,0.7204058170318604,0.5629955530166626,0.17215628921985626
15,0.7439090013504028,0.5922412872314453,0.15445619821548462,1e-04,0.7500215172767639,0.6000275611877441,0.15503975749015808
16,0.741686224937439,0.589428722858429,0.156637504696846,1e-04,0.44406330585479736,0.28539934754371643,0.35199692845344543
17,0.743434488773346,0.591640055179596,0.15452763438224792,1e-04,0.7447574138641357,0.5933175086975098,0.15698876976966858
18,0.7488422393798828,0.5985194444656372,0.15074431896209717,1e-04,0.7426714301109314,0.590674102306366,0.15917596220970154
19,0.7528409361839294,0.6036447286605835,0.15007178485393524,1e-04,0.6965955495834351,0.5344431400299072,0.1809219866991043
20,0.756361722946167,0.6081846356391907,0.14751948416233063,1e-04,0.7470685839653015,0.5962565541267395,0.15608187019824982
21,0.7754442095756531,0.6332453489303589,0.13397471606731415,5e-05,0.7768759727478027,0.6351571083068848,0.13604983687400818
22,0.7806326746940613,0.6401948928833008,0.13243114948272705,5e-05,0.7801169753074646,0.6395015120506287,0.13410800695419312
23,0.7886258959770203,0.6510176062583923,0.1271183341741562,5e-05,0.7533489465713501,0.6042981743812561,0.14732620120048523
24,0.7855657339096069,0.6468573212623596,0.1304778754711151,5e-05,0.7994630336761475,0.6659212708473206,0.12426651269197464
25,0.7894756197929382,0.652176558971405,0.12811556458473206,5e-05,0.7545580863952637,0.6058557033538818,0.15022096037864685
26,0.7936205863952637,0.6578532457351685,0.12495803833007812,5e-05,0.7726966142654419,0.6295889019966125,0.13703352212905884
27,0.7942282557487488,0.6586887240409851,0.1247924268245697,5e-05,0.785229504108429,0.6464015245437622,0.13229674100875854
28,0.8011025190353394,0.668199360370636,0.12118025124073029,5e-05,0.7977663278579712,0.6635701656341553,0.12517595291137695
29,0.8012458682060242,0.6683987975120544,0.12159419059753418,5e-05,0.7913506031036377,0.6547395586967468,0.12726990878582
30,0.8066877126693726,0.6760072112083435,0.11702309548854828,2.5e-05,0.8021544814109802,0.6696644425392151,0.12012732774019241
31,0.8120059967041016,0.6835101246833801,0.11478551477193832,2.5e-05,0.8103246688842773,0.6811309456825256,0.11682485044002533
32,0.8189939856529236,0.6934714317321777,0.11038979887962341,2.5e-05,0.8017714619636536,0.6691306829452515,0.12214656919240952
33,0.8219010233879089,0.6976502537727356,0.10892821848392487,2.5e-05,0.8015990853309631,0.6688905358314514,0.12258263677358627
34,0.8147737979888916,0.6874416470527649,0.11226601898670197,2.5e-05,0.8015568256378174,0.6688317060470581,0.12080641835927963
35,0.8215322494506836,0.6971190571784973,0.10758239775896072,2.5e-05,0.8006112575531006,0.6675160527229309,0.12105345726013184
36,0.8211842179298401,0.6966179609298706,0.10852932929992676,2.5e-05,0.809020459651947,0.6792899966239929,0.11540466547012329
37,0.8240393400192261,0.7007371187210083,0.10687290877103806,2.5e-05,0.809859573841095,0.6804739236831665,0.11604729294776917
38,0.828222393989563,0.7068085074424744,0.10563147068023682,2.5e-05,0.8078580498695374,0.6776525378227234,0.11645843833684921
39,0.8281732797622681,0.7067369818687439,0.10393022745847702,2.5e-05,0.8093915581703186,0.6798134446144104,0.11621510237455368
40,0.8257836103439331,0.703263521194458,0.1052328571677208,2.5e-05,0.8111044764518738,0.6822336316108704,0.11503072828054428
41,0.8281580209732056,0.7067148089408875,0.10444323718547821,2.5e-05,0.8055229783058167,0.6743729710578918,0.11791790276765823
42,0.8286240696907043,0.7073937654495239,0.104583740234375,2.5e-05,0.8141131401062012,0.6865015029907227,0.11387236416339874
43,0.8296263813972473,0.7088560461997986,0.10311152040958405,2.5e-05,0.7864668369293213,0.6480802297592163,0.12822315096855164
44,0.8361685872077942,0.7184619903564453,0.10059057921171188,2.5e-05,0.8079290986061096,0.6777524948120117,0.11652591079473495
45,0.8315446376800537,0.7116615176200867,0.10311348736286163,2.5e-05,0.8043131232261658,0.6726787090301514,0.11847490817308426
46,0.8377447724342346,0.7207924127578735,0.09873128682374954,2.5e-05,0.813384473323822,0.6854658722877502,0.11466848105192184
47,0.8402939438819885,0.7245749831199646,0.09683075547218323,2.5e-05,0.8068267703056335,0.6762025356292725,0.11722681671380997
48,0.8407827615737915,0.7253022193908691,0.09819038957357407,1.25e-05,0.8113186955451965,0.682536780834198,0.11460423469543457
49,0.8445181846618652,0.7308797240257263,0.09467683732509613,1.25e-05,0.8125160336494446,0.6842333078384399,0.11426239460706711
50,0.843940258026123,0.7300143837928772,0.09519781172275543,1.25e-05,0.815148651599884,0.6879754066467285,0.11313792318105698
51,0.8402101993560791,0.724450409412384,0.0975896343588829,1.25e-05,0.8206615447998047,0.695866048336029,0.10933151096105576
52,0.8463200330734253,0.7335830330848694,0.09305207431316376,1.25e-05,0.81095951795578,0.6820285320281982,0.11479652673006058
53,0.8481046557426453,0.7362688779830933,0.09358686953783035,1.25e-05,0.8170968294143677,0.6907554268836975,0.11106204986572266
54,0.8478277325630188,0.735851526260376,0.09238625317811966,1.25e-05,0.8110544085502625,0.6821627616882324,0.11442484706640244
55,0.848297119140625,0.7365589737892151,0.09204395860433578,1.25e-05,0.8183699250221252,0.692577064037323,0.11025313287973404
56,0.8473947048187256,0.7351993918418884,0.09257560968399048,1.25e-05,0.8186786770820618,0.6930195093154907,0.10981986671686172
57,0.8520822525024414,0.7422850728034973,0.08974337577819824,6.25e-06,0.8203884363174438,0.6954733729362488,0.10848844796419144
58,0.8547792434692383,0.7463881373405457,0.08906857669353485,6.25e-06,0.8205148577690125,0.695655107498169,0.10877205431461334
59,0.8507685661315918,0.7402935028076172,0.09117581695318222,6.25e-06,0.8211127519607544,0.6965150833129883,0.1083063930273056
60,0.8562202453613281,0.7485883831977844,0.08831429481506348,6.25e-06,0.8155011534690857,0.6884778141975403,0.11245635896921158
61,0.8555545210838318,0.7475712299346924,0.08760111778974533,6.25e-06,0.8156078457832336,0.6886299252510071,0.11229584366083145
62,0.8558900356292725,0.7480837106704712,0.08838877081871033,6.25e-06,0.8156161308288574,0.6886417269706726,0.11234647035598755
63,0.8521747589111328,0.7424255013465881,0.09004474431276321,6.25e-06,0.8184033632278442,0.6926249861717224,0.10999009758234024
64,0.8569520115852356,0.7497077584266663,0.08819012343883514,6.25e-06,0.8184163570404053,0.6926436424255371,0.11033923923969269
65,0.8547582626342773,0.746356189250946,0.08929089456796646,3.125e-06,0.8179248571395874,0.6919397711753845,0.11058487743139267
66,0.8545092940330505,0.7459766268730164,0.08934016525745392,3.125e-06,0.8169271945953369,0.6905130743980408,0.11115569621324539
67,0.8578498363494873,0.7510831952095032,0.08711536973714828,3.125e-06,0.8189101815223694,0.6933513283729553,0.10996644198894501
68,0.8581447601318359,0.7515355348587036,0.08674061298370361,3.125e-06,0.8200280666351318,0.6949555277824402,0.10936512798070908
69,0.8572903871536255,0.7502259612083435,0.08814012259244919,3.125e-06,0.8184736371040344,0.692725658416748,0.11020666360855103
70,0.8587878942489624,0.7525225281715393,0.08671045303344727,1.5625e-06,0.8190543055534363,0.6935579180717468,0.11011940240859985
71,0.8581088781356812,0.7514804601669312,0.08717288821935654,1.5625e-06,0.816727876663208,0.690228283405304,0.11165283620357513
72,0.8594382405281067,0.7535218596458435,0.0867677554488182,1.5625e-06,0.8175431489944458,0.6913936138153076,0.11096364259719849
73,0.8595790266990662,0.7537383437156677,0.08654261380434036,1.5625e-06,0.8187416195869446,0.6931096911430359,0.11017964780330658
74,0.8595091104507446,0.7536308765411377,0.08580285310745239,1.5625e-06,0.8189231157302856,0.6933698058128357,0.11012047529220581
